code,name,exchange,sector
7203,トヨタ自動車,東証プライム,輸送用機器
9984,ソフトバンクグループ,東証プライム,情報・通信
6758,ソニーグループ,東証プライム,電気機器
6861,キーエンス,東証プライム,電気機器
7974,任天堂,東証プライム,その他製品
9432,日本電信電話,東証プライム,情報・通信
4063,信越化学工業,東証プライム,化学
6098,リクルートHD,東証プライム,サービス
8306,三菱UFJFG,東証プライム,銀行
6367,ダイキン工業,東証プライム,機械
8035,東京エレクトロン,東証プライム,電気機器
6723,ルネサスエレクトロニクス,東証プライム,電気機器
4568,第一三共,東証プライム,医薬品
4519,中外製薬,東証プライム,医薬品
6954,ファナック,東証プライム,電気機器
6702,富士通,東証プライム,電気機器
4307,野村総合研究所,東証プライム,情報・通信
3659,ネクソン,東証プライム,情報・通信
4385,メルカリ,東証プライム,情報・通信
4478,フリー,東証グロース,情報・通信
3697,SHIFT,東証プライム,情報・通信
6532,ベイカレント,東証プライム,サービス
3856,Abalance,東証スタンダード,電気機器
6315,TOWA,東証プライム,機械
6640,第一精工,東証プライム,電気機器
7779,CYBERDYNE,東証プライム,機械
4011,ヘッドウォータース,東証グロース,情報・通信
3825,リミックスポイント,東証スタンダード,情報・通信
2121,MIXI,東証プライム,情報・通信
3765,ガンホー,東証プライム,情報・通信
2432,DeNA,東証プライム,情報・通信
9684,スクウェア・エニックス,東証プライム,情報・通信
3635,コーエーテクモ,東証プライム,情報・通信
7832,バンダイナムコHD,東証プライム,その他製品
6050,イー・ガーディアン,東証プライム,サービス
4482,ウィルズ,東証グロース,情報・通信
4259,エクスプリ,東証グロース,情報・通信
5232,住友大阪セメント,東証プライム,窯業
7425,南陽,東証スタンダード,卸売
9101,日本郵船,東証プライム,海運
5401,日本製鉄,東証プライム,鉄鋼
7011,三菱重工業,東証プライム,機械
